time_hours,time_minutes,ZT,Larinioides,Agelenopsis,Steatoda
12,37,757,0.6248222365869425,1.0023255813953487,0.45161290322580644
12,38,758,0.6394311570782161,0.9875968992248062,0.25268817204301075
12,39,759,0.7254040077569489,0.9984496124031008,0.3118279569892473
12,40,760,0.6305106658047835,1.069767441860465,0.3763440860215054
12,41,761,0.6814479638009049,1.0271317829457365,0.47849462365591394
12,42,762,0.727601809954751,1.068217054263566,0.44086021505376344
12,43,763,0.6743374272786038,1.2899224806201552,0.6021505376344086
12,44,764,0.7967679379444087,0.9736434108527132,0.32795698924731187
12,45,765,0.7910795087265674,0.9434108527131783,0.43548387096774205
12,46,766,0.6465416936005173,0.4906976744186047,0.5161290322580645
12,47,767,0.6461538461538462,0.7821705426356589,0.7473118279569892
12,48,768,0.7678086619263089,0.6426356589147286,0.7795698924731184
12,49,769,0.6558500323206203,0.7209302325581396,1.0483870967741935
12,50,770,0.7957336780866194,0.6209302325581394,0.9408602150537633
12,51,771,0.8287007110536523,0.7875968992248062,0.8064516129032256
12,52,772,0.6968325791855203,0.917829457364341,1.086021505376344
12,53,773,0.7638009049773757,0.6147286821705427,1.0483870967741937
12,54,774,0.7528118939883647,0.5387596899224807,1.2634408602150538
12,55,775,0.7049773755656108,0.6992248062015503,1.1021505376344085
12,56,776,0.6493859082094374,0.7077519379844961,1.1182795698924732
12,57,777,1.0219780219780221,0.6286821705426356,1.053763440860215
12,58,778,0.9798319327731091,0.6255813953488372,1.150537634408602
12,59,779,0.873044602456367,1.0558139534883724,0.8333333333333334
13,0,780,0.8153846153846153,0.9875968992248061,1.1344086021505375
13,1,781,0.7829347123464772,0.8480620155038758,1.1021505376344085
13,2,782,0.7850032320620556,0.6302325581395348,1.3387096774193548
13,3,783,0.9247575953458305,0.5573643410852712,1.0268817204301075
13,4,784,0.8804137039431159,0.6844961240310078,1.0913978494623655
13,5,785,0.895798319327731,0.7317829457364341,1.2634408602150535
13,6,786,0.9210084033613445,0.7558139534883721,0.9838709677419354
13,7,787,0.7835811247575954,0.7596899224806203,1.1774193548387097
13,8,788,0.7724628312863608,0.7961240310077518,1.0860215053763442
13,9,789,0.8210730446024564,1.134108527131783,0.946236559139785
13,10,790,0.7820297349709114,1.0410852713178294,1.0698924731182795
13,11,791,0.7636716224951519,0.7395348837209305,1.1021505376344087
13,12,792,0.8608920491273432,0.8387596899224808,1.150537634408602
13,13,793,0.9507433742727861,0.7999999999999998,1.403225806451613
13,14,794,0.8982546864899807,0.6782945736434107,1.4838709677419353
13,15,795,0.9111829347123462,0.8294573643410854,1.1451612903225807
13,16,796,0.8814479638009052,0.9968992248062015,1.3602150537634405
13,17,797,0.7913380736910147,0.7434108527131783,1.150537634408602
13,18,798,0.7507433742727858,0.7829457364341085,1.2365591397849462
13,19,799,0.7044602456367163,0.7310077519379845,1.139784946236559
13,20,800,0.7213962508080155,1.0046511627906978,1.1720430107526885
13,21,801,0.6237879767291532,1.04031007751938,1.0376344086021505
13,22,802,0.6515837104072397,0.7953488372093023,0.8118279569892473
